#{"t_start": 1721780210.678986, "env_id": "Pendulum-v1"}
r,l,t
-1242.004238,200,1.248979
-1594.025474,200,2.67704
-1511.070284,200,4.107589
-1382.705027,200,5.529252
-1430.689525,200,6.968099
-1433.498955,200,8.422667
-1377.93179,200,9.851287
-1248.699187,200,11.273966
-1042.628655,200,12.698904
-1100.027463,200,14.136527
-992.815315,200,15.568349
-919.714159,200,16.999153
-611.248804,200,18.430934
-515.780519,200,19.858252
-134.130534,200,21.278468
-668.906637,200,22.727427
-130.071881,200,24.188099
-250.681601,200,25.606898
-369.482537,200,27.026883
-400.84296,200,28.445551
-0.903408,200,29.868037
-123.946413,200,31.285192
-127.516001,200,32.715904
-0.945585,200,34.148469
-123.798075,200,35.569334
-277.887467,200,36.99297
-251.223063,200,38.412025
-122.301591,200,39.869814
-341.730499,200,41.296075
-251.754606,200,42.71787
-128.33428,200,44.138536
-116.766924,200,45.559581
-249.769318,200,46.979518
-246.075922,200,48.406737
-230.137789,200,49.828419
-122.284663,200,51.246092
-1.129806,200,52.674916
-228.222127,200,54.09442
-229.173154,200,55.542931
-122.25773,200,56.998195
-236.321922,200,58.433841
-126.75847,200,59.873961
-250.238992,200,61.309073
-3.040751,200,62.748035
-332.325266,200,64.183277
-238.404824,200,65.619744
-233.994484,200,67.054247
-125.491877,200,68.487248
-236.636003,200,69.924777
-123.500144,200,71.36039
-120.886805,200,72.787069
-118.1373,200,74.217718
-115.945326,200,75.649518
-116.137001,200,77.088507
-330.293892,200,78.523078
-376.942656,200,79.957732
-121.060579,200,81.391459
-127.324315,200,82.834139
-0.626795,200,84.283159
-124.01015,200,85.731568
-124.72501,200,87.173236
-0.542059,200,88.647092
-121.841144,200,90.109807
-125.272755,200,91.576764
-113.769737,200,93.040231
-250.036906,200,94.502642
-0.656106,200,95.969563
-123.440431,200,97.431314
-226.060993,200,98.887908
-120.14261,200,100.351306
-233.174989,200,101.804301
-119.86234,200,103.232955
-118.726352,200,104.690916
-240.347293,200,106.131467
-123.434818,200,107.562611
-119.40478,200,109.022468
-120.03573,200,110.485675
-227.028174,200,111.914659
-121.966534,200,113.373993
-226.568049,200,114.831436
-120.347109,200,116.29234
-124.321669,200,117.748302
-0.731339,200,119.203032
-116.851591,200,120.660273
-124.527429,200,122.114888
-117.477277,200,123.561979
-0.854199,200,124.987921
-116.682005,200,126.4138
-241.186048,200,127.831497
-121.72697,200,129.25222
-126.24737,200,130.673928
