#{"t_start": 1722006171.4264398, "env_id": "Pendulum-v1"}
r,l,t
-1137.520482,200,0.193004
-1204.586783,200,0.378188
-1201.915374,200,0.56282
-1111.112825,200,0.747308
-1028.889772,200,0.932065
-1223.675983,200,3.04268
-977.804295,200,3.227762
-1042.330838,200,3.412683
-1049.599006,200,3.597888
-1245.445235,200,3.782929
-1179.584852,200,5.897145
-1074.107479,200,6.082249
-1120.330196,200,6.266893
-914.390849,200,6.451683
-1119.479995,200,6.636823
-1105.570949,200,8.752179
-927.350047,200,8.937558
-1447.074831,200,9.123056
-1021.982027,200,9.308352
-1024.482364,200,9.493704
-1023.180381,200,11.608064
-1218.393134,200,11.792992
-1162.222453,200,11.978558
-1182.293448,200,12.163646
-1020.457373,200,12.348594
-1179.455674,200,14.46448
-993.492708,200,14.65014
-1041.370171,200,14.835365
-906.571166,200,15.020519
-1030.168152,200,15.205768
-1022.535197,200,17.320434
-1283.234804,200,17.505155
-1140.94182,200,17.689917
-655.479737,200,17.874627
-1122.060652,200,18.059056
-1023.732976,200,20.173909
-1125.478301,200,20.359289
-998.659966,200,20.544583
-842.125467,200,20.729659
-954.346907,200,20.914595
-925.717909,200,23.030685
-1070.770835,200,23.215571
-962.719102,200,23.400282
-1019.15099,200,23.584884
-1149.15085,200,23.769566
-1073.443711,200,23.954577
-1261.030446,200,26.068904
-1103.220485,200,26.253704
-832.678337,200,26.438233
-961.152694,200,26.622833
-1235.070988,200,26.807852
-899.735367,200,28.918396
-892.098608,200,29.100194
-1023.550043,200,29.281889
-985.128457,200,29.463662
-937.962813,200,29.645489
-660.613244,200,31.758615
-659.35666,200,31.943658
-834.787271,200,32.12848
-978.007149,200,32.313326
-814.472126,200,32.497916
-1142.04259,200,34.612636
-700.235066,200,34.797382
-437.526126,200,34.982069
-642.579105,200,35.166403
-553.520932,200,35.351099
-533.088049,200,37.468299
-494.757654,200,37.65354
-1155.107131,200,37.838618
-827.895377,200,38.023579
-677.921863,200,38.208824
-673.333242,200,40.323844
-665.676335,200,40.508079
-802.006032,200,40.692519
-267.482129,200,40.877343
-710.870113,200,41.06186
-280.707703,200,43.17623
-535.28876,200,43.361529
-271.153424,200,43.546592
-536.833078,200,43.731648
-140.586951,200,43.916632
-535.757063,200,46.032265
-441.208302,200,46.217347
-412.392609,200,46.40221
-146.193098,200,46.587154
-546.566524,200,46.772465
-6.280046,200,46.957217
-273.585305,200,49.071661
-69.278974,200,49.256392
-342.635971,200,49.440797
-337.874035,200,49.625473
-338.0098,200,49.809568
-494.78964,200,51.922988
-451.603765,200,52.10762
-420.34567,200,52.29216
-174.770621,200,52.476967
-166.972321,200,52.661739
-405.881718,200,54.777067
-344.92709,200,54.962319
-205.411448,200,55.147225
-73.722433,200,55.332085
-453.539026,200,55.51707
-5.518785,200,57.631819
-271.558795,200,57.816293
-3.876014,200,58.000605
-382.262373,200,58.184889
-269.440227,200,58.369244
-484.070719,200,60.48526
-345.404233,200,60.669722
-343.581963,200,60.854033
-536.101177,200,61.038449
-343.344998,200,61.222434
-137.224233,200,63.337661
-136.377787,200,63.521915
-136.685673,200,63.706665
-9.702613,200,63.89146
-392.785607,200,64.075658
-2.410026,200,66.191009
-279.392408,200,66.37583
-137.778243,200,66.560859
-406.886305,200,66.745975
-437.745933,200,66.931031
-411.77769,200,69.046625
-273.696744,200,69.231066
-2.227298,200,69.415565
-137.070002,200,69.600013
-397.937356,200,69.78472
-404.597649,200,69.968995
-137.196452,200,72.08339
-133.770798,200,72.267793
-2.564564,200,72.451884
-3.979183,200,72.635985
-260.995188,200,72.820042
-387.188669,200,74.935618
-137.731696,200,75.119864
