#{"t_start": 1721782771.8777194, "env_id": "Pendulum-v1"}
r,l,t
-1398.879117,200,1.179446
-1462.141768,200,2.515834
-1799.80072,200,3.853341
-1741.708257,200,5.189241
-1439.499593,200,6.524611
-1651.804096,200,7.860843
-1502.079003,200,9.197859
-1304.616696,200,10.531109
-1079.363679,200,11.880014
-1123.074288,200,13.22867
-784.343416,200,14.580482
-1166.500831,200,15.929868
-958.551302,200,17.277806
-910.372014,200,18.6268
-382.523046,200,19.972362
-127.747395,200,21.321833
-247.390111,200,22.67211
-129.410693,200,24.0163
-249.488861,200,25.357594
-364.280493,200,26.698588
-123.42412,200,28.040966
-127.097306,200,29.382244
-0.692055,200,30.723062
-122.047828,200,32.064295
-126.853599,200,33.407009
-248.653695,200,34.747468
-122.818958,200,36.08726
-122.826322,200,37.428475
-123.849463,200,38.774051
-0.80668,200,40.124933
-119.184695,200,41.4735
-121.040431,200,42.822433
-127.781642,200,44.175383
-126.415242,200,45.518835
-123.046796,200,46.858446
-1.961584,200,48.195576
-117.664376,200,49.53282
-131.53429,200,50.869949
-120.660992,200,52.207523
-227.813807,200,53.54482
-123.997686,200,54.882298
-126.378528,200,56.219469
-250.823534,200,57.556664
-120.134622,200,58.894288
-225.696789,200,60.231447
-0.615047,200,61.564031
-122.856571,200,62.893854
-118.407812,200,64.223672
-113.643037,200,65.553224
-249.167385,200,66.888361
-117.696212,200,68.223179
-2.242459,200,69.553575
-114.934069,200,70.877024
-121.847625,200,72.210962
-116.226231,200,73.547141
-119.212158,200,74.880873
-121.038493,200,76.209654
-0.733851,200,77.540828
-120.363735,200,78.870852
-118.947803,200,80.199886
-2.489658,200,81.530743
-126.461343,200,82.866861
-230.435295,200,84.205399
-232.962772,200,85.542078
-116.567734,200,86.877619
-121.31606,200,88.217469
-229.975413,200,89.557757
-118.984155,200,90.898174
-116.540388,200,92.23827
-229.847621,200,93.578653
-0.58826,200,94.921787
-225.131471,200,96.26174
-123.473613,200,97.601179
-313.664075,200,98.941072
-123.263294,200,100.281615
-122.19435,200,101.624772
-126.833953,200,102.966701
-118.165657,200,104.308063
-121.174975,200,105.649123
-226.581303,200,106.99064
-125.576597,200,108.336483
-117.023456,200,109.680691
-121.833129,200,111.025708
-121.010044,200,112.370869
-243.95094,200,113.709251
-113.168002,200,115.048231
-1.562349,200,116.387024
-124.10958,200,117.726623
-123.72857,200,119.067684
-0.543859,200,120.406466
-230.679305,200,121.746652
-121.119275,200,123.086562
-116.788642,200,124.427073
-350.530349,200,125.767298
-123.124524,200,127.109055
-116.824902,200,128.452487
-115.831498,200,129.790305
-125.771214,200,131.124424
-125.5479,200,132.471158
-120.40535,200,133.81754
-1.166416,200,135.157136
-113.846965,200,136.493969
-122.079974,200,137.831149
-120.211497,200,139.167035
-124.527041,200,140.503663
-118.553518,200,141.83982
-126.428042,200,143.177041
-114.998123,200,144.513922
-128.749612,200,145.849994
-0.664541,200,147.18625
-239.240435,200,148.521857
-245.894613,200,149.859718
-122.140244,200,151.196251
-228.408564,200,152.532819
-0.483062,200,153.869034
-116.817271,200,155.205549
-1.737348,200,156.543669
-225.339089,200,157.880619
-336.708298,200,159.217156
-230.3069,200,160.553311
-229.413645,200,161.890959
-116.283665,200,163.228166
-1.54795,200,164.565382
-230.124684,200,165.903125
-118.204896,200,167.239735
-126.435326,200,168.576946
-241.446432,200,169.915509
-2.024137,200,171.25701
-127.890163,200,172.603368
-229.879022,200,173.950204
-238.52073,200,175.29756
-125.060927,200,176.643675
-242.182366,200,177.989669
-127.794991,200,179.336911
-129.918136,200,180.683781
-3.873458,200,182.031344
-121.605511,200,183.378703
-119.835273,200,184.726355
-121.570457,200,186.07293
-118.651638,200,187.419292
-231.468896,200,188.765705
-130.382061,200,190.101075
-121.658517,200,191.440171
-246.358631,200,192.780415
-4.762518,200,194.122499
-126.297215,200,195.465351
-130.073316,200,196.812136
-123.064053,200,198.159106
-116.947305,200,199.506737
-326.780915,200,200.853996
-136.319201,200,202.198557
-122.213656,200,203.538661
-135.006241,200,204.878243
-260.467175,200,206.217812
-129.716067,200,207.557977
-139.152337,200,208.898532
-248.909866,200,210.238722
-119.224349,200,211.58014
-129.471461,200,212.920418
-130.365182,200,214.2605
-132.970268,200,215.600917
-130.34882,200,216.942417
-129.535971,200,218.283126
-130.306637,200,219.623606
-132.279091,200,220.964908
-235.444987,200,222.30668
-312.862289,200,223.648301
-232.749921,200,224.989737
-123.145895,200,226.331849
-238.598767,200,227.672709
-7.841084,200,229.014123
-8.64369,200,230.355629
-131.759081,200,231.695766
-8.508036,200,233.036142
-134.821126,200,234.376915
-234.478911,200,235.718685
-123.464475,200,237.064431
-131.391723,200,238.409276
-131.451643,200,239.760199
-131.717896,200,241.102238
-249.241554,200,242.451656
-131.977699,200,243.798176
-242.383918,200,245.145237
-130.996479,200,246.493149
-237.171294,200,247.834929
-127.162504,200,249.173814
-129.69893,200,250.496327
-8.360243,200,251.834698
-131.272478,200,253.171274
-366.544976,200,254.510193
-125.106009,200,255.847061
-128.897332,200,257.184263
-129.488769,200,258.521873
-133.403995,200,259.859002
-124.752096,200,261.196594
-132.336368,200,262.534215
-251.972912,200,263.871986
-248.742138,200,265.209269
-122.609478,200,266.546131
-130.581202,200,267.883351
-9.326478,200,269.22019
-134.605344,200,270.557375
-239.681266,200,271.895174
-132.360188,200,273.231987
-242.285345,200,274.569344
-131.302503,200,275.906194
-120.352883,200,277.243447
-130.921394,200,278.580669
-129.609834,200,279.918142
-9.426036,200,281.254972
-129.676958,200,282.592832
-231.395753,200,283.934114
-127.337408,200,285.277371
-237.389897,200,286.622891
-121.711832,200,287.967394
-245.289886,200,289.311369
-223.915318,200,290.656929
-128.186983,200,292.000897
-254.631054,200,293.344271
-238.410801,200,294.689438
-226.69921,200,296.033158
-124.563302,200,297.377978
-228.833103,200,298.721741
-123.337804,200,300.063329
-234.197327,200,301.406054
-135.259323,200,302.750301
-122.12148,200,304.096605
-124.608847,200,305.441987
-121.900235,200,306.785734
-117.290367,200,308.129868
-128.832425,200,309.476254
-248.102059,200,310.814588
-127.113997,200,312.163709
-121.352726,200,313.51272
-116.220866,200,314.862777
-128.578122,200,316.203121
-127.088583,200,317.544024
-0.59932,200,318.88611
-125.74632,200,320.227054
-117.705113,200,321.567236
-220.934053,200,322.908527
-124.444594,200,324.249473
-123.584621,200,325.590257
-0.782055,200,326.931399
-224.771594,200,328.272516
-228.826676,200,329.614184
-284.666997,200,330.95994
-127.932272,200,332.304994
-223.035464,200,333.650486
-222.189115,200,334.999141
-129.028771,200,336.343717
-2.971203,200,337.682917
-252.879938,200,339.021726
-134.242342,200,340.359326
-135.276533,200,341.696526
-130.820797,200,343.03408
-124.332308,200,344.371623
-233.135647,200,345.710109
-135.252138,200,347.04836
-138.571322,200,348.385531
-238.145612,200,349.722755
-252.600276,200,351.05991
-245.783504,200,352.397182
-122.86248,200,353.734423
-128.334933,200,355.071639
-122.578293,200,356.408822
-136.075091,200,357.746003
-134.400709,200,359.083147
-127.962122,200,360.420415
-122.968896,200,361.757649
-117.296871,200,363.094775
-246.931071,200,364.432381
-118.104245,200,365.770276
-224.768332,200,367.107486
-117.760992,200,368.444679
-121.029501,200,369.777627
-114.185686,200,371.106774
-1.711728,200,372.447297
-124.633608,200,373.788326
-283.102555,200,375.133177
-114.51726,200,376.479454
-123.963964,200,377.824662
-240.762093,200,379.167775
-357.839073,200,380.512787
-115.849545,200,381.857595
-123.286577,200,383.203127
-116.545726,200,384.549329
-123.88359,200,385.894361
-126.350536,200,387.240295
-228.838228,200,388.58478
-128.640525,200,389.929998
-114.207101,200,391.273857
-121.04728,200,392.618448
-246.021967,200,393.961192
-232.999967,200,395.306381
-128.872256,200,396.651934
-0.891285,200,397.997635
-120.678449,200,399.346616
-229.14843,200,400.696032
-128.136157,200,402.04567
-119.06852,200,403.396881
-127.388347,200,404.739348
-247.142902,200,406.08249
-239.339408,200,407.427429
-126.370077,200,408.768758
-124.51219,200,410.110204
-224.884419,200,411.451414
-125.942899,200,412.792692
-230.88159,200,414.133778
-115.177371,200,415.474863
-125.352589,200,416.815947
-2.565696,200,418.1612
-222.028655,200,419.514271
-127.431444,200,420.8643
-116.240774,200,422.207466
-0.898103,200,423.558244
-115.464279,200,424.90598
-237.257211,200,426.246821
-123.616998,200,427.584404
-124.392904,200,428.922832
-127.686915,200,430.250319
-125.019622,200,431.587666
-126.106406,200,432.924827
-243.868191,200,434.264081
-116.716792,200,435.601264
-0.577851,200,436.938837
-126.34171,200,438.277077
-2.534394,200,439.614637
-220.201166,200,440.953981
-123.176871,200,442.293397
-228.844697,200,443.633282
-128.98724,200,444.972821
-124.94426,200,446.311603
-285.1824,200,447.649652
-229.045336,200,448.987406
-226.321177,200,450.332069
-0.5484,200,451.677072
-124.416299,200,453.021015
-224.744835,200,454.370425
-226.992732,200,455.721425
-123.037934,200,457.072517
-114.682069,200,458.420377
-227.554132,200,459.771268
-114.401772,200,461.123168
-223.134815,200,462.46736
-128.219755,200,463.819945
-128.139792,200,465.171994
-1.234559,200,466.521578
-116.796041,200,467.874367
-120.0003,200,469.224243
-228.414578,200,470.574768
-0.564191,200,471.925155
-118.024085,200,473.275247
-230.043775,200,474.628829
-124.672384,200,475.97982
-221.866832,200,477.331049
-124.966614,200,478.682117
-226.69993,200,480.034071
-119.788679,200,481.384083
-235.630684,200,482.734933
-119.295996,200,484.08679
-126.758303,200,485.44001
-115.874241,200,486.791961
-125.80958,200,488.145912
-247.576885,200,489.500009
-299.079339,200,490.840655
-230.283517,200,492.195356
-125.97476,200,493.541409
-119.531292,200,494.884945
-126.345866,200,496.230844
-234.261788,200,497.577028
-116.5552,200,498.92214
-121.12245,200,500.265802
-125.366587,200,501.608434
-244.633614,200,502.950915
-124.443943,200,504.297563
-1.366531,200,505.644092
-218.233005,200,506.988886
-121.917514,200,508.333977
-120.893915,200,509.679057
-119.445237,200,511.024005
-221.016866,200,512.368149
-231.986955,200,513.712033
-125.321423,200,515.0578
-127.195585,200,516.401183
-127.459783,200,517.747503
-230.849528,200,519.090839
-235.496498,200,520.435775
-125.482419,200,521.780808
-121.100508,200,523.127968
-124.074296,200,524.473698
-116.91938,200,525.818826
-0.818453,200,527.163802
-130.702862,200,528.51291
-228.675378,200,529.867244
-232.672142,200,531.21791
-224.139489,200,532.574551
-0.501546,200,533.922471
-4.056377,200,535.277476
-232.2179,200,536.623319
-126.827325,200,537.977298
-120.850981,200,539.333882
-126.053693,200,540.677248
-121.032166,200,542.019182
-125.090771,200,543.358374
-115.803088,200,544.699939
-125.706503,200,546.038396
-123.170931,200,547.378113
-124.075256,200,548.715908
-240.113037,200,550.046642
-127.542448,200,551.383614
-123.730907,200,552.725791
-346.948475,200,554.067035
-2.772063,200,555.408427
-129.247463,200,556.748213
-126.386304,200,558.090135
-120.308931,200,559.429055
-124.472948,200,560.769036
-120.947723,200,562.108022
-0.586477,200,563.446521
-248.926258,200,564.786108
-117.103029,200,566.127274
-126.011369,200,567.468118
-126.416639,200,568.8067
-121.649267,200,570.14873
-242.094815,200,571.488476
-269.454409,200,572.829558
-225.857793,200,574.168783
-116.745532,200,575.510137
-325.865405,200,576.853633
-122.307865,200,578.203613
-119.608728,200,579.554296
-122.706916,200,580.905428
-0.486183,200,582.255452
-120.330828,200,583.608332
-117.819038,200,584.960148
-220.51241,200,586.313237
-0.627702,200,587.666919
-229.821653,200,589.01977
-120.618863,200,590.372117
-124.00801,200,591.722185
-121.722223,200,593.074003
-120.625047,200,594.423118
-256.592239,200,595.774996
-115.124964,200,597.125625
-115.986841,200,598.475997
-117.581389,200,599.827373
-123.183296,200,601.179192
-123.38363,200,602.533485
-0.509499,200,603.887822
-127.217382,200,605.243265
-0.982678,200,606.59898
-120.296688,200,607.950741
-270.098436,200,609.29385
-125.78108,200,610.624461
-118.383345,200,611.972374
-224.325494,200,613.317903
-120.285772,200,614.663818
-375.608285,200,616.008548
-119.67079,200,617.352957
-230.029792,200,618.699481
-121.321405,200,620.044871
-234.748068,200,621.392605
-124.09855,200,622.743847
-126.310148,200,624.097271
-238.037165,200,625.444029
-116.678411,200,626.80093
-225.439649,200,628.154483
-113.903656,200,629.498916
-224.770876,200,630.838932
-126.674937,200,632.181818
-118.192789,200,633.522188
-124.594351,200,634.861219
-116.874701,200,636.201444
-129.354164,200,637.541184
-125.090617,200,638.882885
-232.358667,200,640.221787
-119.245519,200,641.56027
-247.295655,200,642.900212
-118.943525,200,644.240421
-218.714706,200,645.583258
-122.181045,200,646.923828
-117.555069,200,648.266466
-0.56895,200,649.606232
-247.167922,200,650.949506
-1.543663,200,652.290068
-1.193987,200,653.629651
-0.607867,200,654.967027
-0.807328,200,656.306309
-124.334827,200,657.64618
-127.451348,200,658.984648
-116.950341,200,660.324038
-120.013128,200,661.662249
-123.702425,200,663.001257
-226.484517,200,664.341375
-224.137905,200,665.684773
-239.582596,200,667.035424
-121.591353,200,668.38563
-124.793278,200,669.732556
-0.492389,200,671.072721
-114.702678,200,672.424319
-222.339106,200,673.777778
-124.32495,200,675.129193
-368.810526,200,676.481959
-231.357447,200,677.833075
-229.544412,200,679.185356
-122.831011,200,680.5348
-125.665773,200,681.886619
-125.283541,200,683.238876
-320.70422,200,684.589641
-127.273762,200,685.940884
-234.846779,200,687.290554
-119.011859,200,688.642139
-224.962101,200,689.991422
-116.558407,200,691.345197
-119.647148,200,692.699172
-234.156941,200,694.054807
-1.266908,200,695.408664
-125.301761,200,696.758153
-1.485987,200,698.102142
-118.006215,200,699.449612
-223.700727,200,700.79514
-228.389249,200,702.138062
-241.58025,200,703.481922
-119.889229,200,704.826838
-229.9119,200,706.172302
-229.014985,200,707.518939
-322.117663,200,708.863759
-124.089585,200,710.213079
-334.275045,200,711.567517
-0.615235,200,712.918665
-1.367542,200,714.267801
-233.915766,200,715.620219
-126.781548,200,716.964797
-1.012283,200,718.304706
-227.798837,200,719.642209
-118.471339,200,720.979809
-0.52111,200,722.317677
-120.879329,200,723.655937
-234.764889,200,724.993447
-125.626905,200,726.333137
-120.009316,200,727.671161
-126.33619,200,729.009048
