#{"t_start": 1721833473.739165, "env_id": "Pendulum-v1"}
r,l,t
-1065.294468,200,3.837766
-1407.963225,200,5.338789
-1377.833725,200,6.842315
-1741.854474,200,8.348609
-1533.52986,200,9.838353
-1448.297949,200,11.331552
-1204.794317,200,12.840037
-1171.689109,200,14.34191
-1425.152813,200,15.849684
-1068.078828,200,17.350514
-996.974014,200,18.849472
-897.627557,200,20.357183
-259.584886,200,21.869597
-2.950412,200,23.373897
-377.697516,200,24.879267
-261.031788,200,26.378641
-126.763983,200,27.894176
-128.101716,200,29.358207
-0.79933,200,30.854038
-244.896534,200,32.346164
-238.891272,200,33.859484
-245.134052,200,35.379879
-125.457203,200,36.883484
-0.827953,200,38.386639
-234.871657,200,39.907259
-123.901617,200,41.426108
-230.833737,200,42.938901
-129.485649,200,44.443729
-127.1304,200,45.946118
-125.686816,200,47.46016
-116.2585,200,48.97423
-131.055141,200,50.472798
-321.880822,200,51.984941
-237.186438,200,53.486877
-0.751627,200,54.981658
-1.017905,200,56.489409
-117.531762,200,57.992465
-126.652151,200,59.387782
-319.471797,200,60.729894
-253.565431,200,62.0752
-235.415072,200,63.419813
-226.74943,200,64.765177
-360.706313,200,66.10976
-1145.438658,200,67.454792
-229.300641,200,68.797928
-374.423897,200,70.141447
-121.305455,200,71.496994
-125.272753,200,72.853269
-1.539654,200,74.209837
-241.788495,200,75.569174
-127.070472,200,76.927476
-128.109474,200,78.285524
-222.607661,200,79.643354
-231.094568,200,81.002009
-128.480292,200,82.361335
-230.531547,200,83.718256
-1.738241,200,85.073276
-225.862583,200,86.429738
-121.137486,200,87.797148
-237.708557,200,89.147258
-231.030097,200,90.50492
-126.856398,200,91.862037
-1.897512,200,93.219076
-117.40911,200,94.578306
-117.958083,200,95.93525
-237.141421,200,97.293728
-304.003157,200,98.65064
-231.046631,200,100.008907
-120.306042,200,101.366835
-1.526646,200,102.724574
-223.243272,200,104.083628
-231.087081,200,105.439821
-114.975189,200,106.800645
-0.853113,200,108.159784
-244.477328,200,109.523627
-247.646419,200,110.884003
-122.738624,200,112.242839
-121.124688,200,113.604191
-0.754982,200,114.964778
-122.620115,200,116.333952
-235.543193,200,117.701585
-244.189158,200,119.063658
-124.904799,200,120.427187
-118.947081,200,121.790297
-322.284754,200,123.155254
-117.003794,200,124.516
-119.427082,200,125.876937
-288.272297,200,127.237203
-0.526619,200,128.603974
-0.490629,200,129.962326
-116.601588,200,131.324018
-227.71942,200,132.675552
-245.375428,200,134.025571
-301.768772,200,135.376396
-115.08436,200,136.728158
-240.148437,200,138.076461
-122.920208,200,139.427981
-244.224244,200,140.778481
-248.980206,200,142.13182
-123.071814,200,143.484943
-238.453761,200,144.835938
-5.732675,200,146.187638
-120.585281,200,147.540582
-123.805458,200,148.884699
-127.61691,200,150.229043
-260.112254,200,151.582527
-124.765374,200,152.933092
-120.75313,200,154.285295
-228.627657,200,155.638644
-118.634828,200,156.991747
-7.081418,200,158.347009
-224.694847,200,159.698296
-335.760184,200,161.050968
-125.831987,200,162.4046
-116.763024,200,163.757237
-118.470318,200,165.109287
-230.903344,200,166.461675
-245.863848,200,167.815286
-3.207099,200,169.170699
-3.428214,200,170.523367
-123.665279,200,171.875542
-127.457924,200,173.228127
-122.78889,200,174.578976
-126.686413,200,175.930549
-119.759881,200,177.282866
-118.090848,200,178.637161
-120.727978,200,179.989959
-122.061455,200,181.343041
-122.652594,200,182.699552
-236.610885,200,184.052933
-128.271805,200,185.405483
-125.763412,200,186.756456
-126.024441,200,188.106937
-124.427575,200,189.458092
-128.532094,200,190.809967
-240.559612,200,192.161537
-120.783123,200,193.514044
-130.042744,200,194.86677
-244.559447,200,196.218611
-123.496903,200,197.573485
-124.200885,200,198.926525
-125.994379,200,200.279203
-235.743814,200,201.632572
-5.694635,200,202.991575
-126.233557,200,204.344272
-235.626529,200,205.695781
-124.607055,200,207.047554
-5.985844,200,208.400069
-117.688435,200,209.748045
-119.126995,200,211.112482
-128.482242,200,212.475669
-122.067298,200,213.83772
