#{"t_start": 1721925136.6556437, "env_id": "Pendulum-v1"}
r,l,t
-1109.140205,200,3.867625
-1568.161111,200,5.393193
-1469.035511,200,6.911725
-1724.568322,200,8.429265
-1319.572443,200,9.946591
-1552.012778,200,11.462522
-1436.093493,200,12.977613
-1375.392802,200,14.498436
-1351.045019,200,16.007589
-1206.62528,200,17.526305
-1007.814424,200,19.046582
-525.30859,200,20.554471
-787.646031,200,22.067037
-497.887237,200,23.581697
-916.114393,200,25.078479
-1.585012,200,26.582472
-128.159701,200,28.092873
-127.5725,200,29.605411
-376.953617,200,31.110827
-127.559501,200,32.618805
-126.276674,200,34.124255
-130.827703,200,35.638658
-245.730006,200,37.14789
-0.743499,200,38.65511
-249.128521,200,40.164453
-123.793918,200,41.677828
-121.455074,200,43.186702
-114.746713,200,44.708056
-240.319637,200,46.215011
-242.464275,200,47.72565
-117.539177,200,49.240072
-124.77039,200,50.751742
-124.740498,200,52.264688
-118.091495,200,53.769819
-114.473754,200,55.27225
-246.269916,200,56.777007
-239.660861,200,58.284083
-3.332838,200,59.790325
-253.056205,200,61.300995
-114.973919,200,62.815535
-1048.524871,200,64.326759
-120.585346,200,65.832471
-126.157969,200,67.337896
-124.000379,200,68.857021
-124.395719,200,70.36803
-386.013421,200,71.888782
-124.16497,200,73.401371
-118.280422,200,74.913369
-239.59719,200,76.431744
-125.495514,200,77.942961
-125.198555,200,79.453301
-232.510723,200,80.977125
-119.593257,200,82.410171
-1.990678,200,83.807567
-341.211481,200,85.184885
-116.945081,200,86.574037
-119.670062,200,87.966636
-126.762862,200,89.354932
-124.158986,200,90.745272
-125.758584,200,92.13926
-126.493826,200,93.531244
-122.143733,200,94.924832
-3.163281,200,96.31615
-231.856697,200,97.710173
-118.761142,200,99.10353
-120.799948,200,100.496095
-230.168204,200,101.884917
-115.235257,200,103.274359
-124.11843,200,104.665218
-120.572467,200,106.052841
-230.353132,200,107.445455
-114.390554,200,108.837448
-0.633623,200,110.221744
-120.322756,200,111.609388
-0.798663,200,112.997968
-244.111941,200,114.386878
-120.505258,200,115.778198
-233.570037,200,117.167855
-115.968628,200,118.555794
-119.054912,200,119.944253
-128.038419,200,121.333427
-123.005969,200,122.729417
-0.61216,200,124.126077
-128.824392,200,125.524695
-121.017631,200,126.919264
-117.901404,200,128.319706
-122.366275,200,129.717324
-123.552088,200,131.116274
-360.482697,200,132.509874
-323.764019,200,133.901662
-117.910552,200,135.287487
-120.026434,200,136.672722
-235.298926,200,138.064721
-336.486979,200,139.452904
-243.329468,200,140.833894
-116.412843,200,142.22152
-126.910237,200,143.606223
-241.024872,200,144.990401
-127.569975,200,146.380075
-231.804964,200,147.775913
-6.140913,200,149.166371
-120.251197,200,150.555618
-232.985054,200,151.952679
-128.594808,200,153.353275
-123.547684,200,154.753881
