#{"t_start": 1721922503.5097528, "env_id": "Pendulum-v1"}
r,l,t
-1518.319733,200,0.167665
-1199.601222,200,0.326763
-1204.282099,200,0.485641
-1309.470754,200,0.644965
-1584.569747,200,0.804033
-1201.854132,200,0.963534
-1068.51753,200,1.122491
-1359.587505,200,1.282047
-1032.484264,200,1.441539
-914.101814,200,1.601067
-946.104571,200,5.868842
-1663.164962,200,6.028897
-1237.526302,200,6.188554
-848.381062,200,6.348688
-1662.087147,200,6.508767
-1355.264799,200,6.668862
-1606.590705,200,6.828469
-1075.767696,200,6.988138
-773.484789,200,7.148111
-950.090657,200,7.307804
-1021.082953,200,11.560808
-893.603331,200,11.720572
-1529.48818,200,11.879915
-1376.479083,200,12.03953
-1453.15488,200,12.198705
-1035.591194,200,12.358419
-765.414118,200,12.517676
-1777.461427,200,12.67735
-1550.407696,200,12.836588
-1354.54766,200,12.996355
-1016.6119,200,17.263049
-1620.802387,200,17.422964
-1401.657715,200,17.58273
-1016.276433,200,17.739753
-1178.595325,200,17.896753
-1040.796862,200,18.053753
-903.82203,200,18.210129
-1032.212198,200,18.367015
-1268.560998,200,18.523756
-1372.565668,200,18.682134
-777.745016,200,22.942277
-1042.481948,200,23.102448
-1329.468909,200,23.262407
-1625.671963,200,23.422514
-1559.71566,200,23.58242
-1022.484165,200,23.741949
-1716.346689,200,23.901706
-1076.023396,200,24.061199
-1460.793939,200,24.220618
-1744.771986,200,24.380005
-1024.48346,200,24.539591
-1063.847139,200,28.798306
-1055.514581,200,28.95869
-1070.123828,200,29.119375
-1068.261677,200,29.280101
-1378.817138,200,29.439666
-994.268688,200,29.599347
-1058.617625,200,29.758861
-1788.823512,200,29.918499
-1544.623731,200,30.078091
-1590.986185,200,30.237913
-956.145715,200,34.488794
-1205.041976,200,34.648253
-1090.578191,200,34.807687
-1594.543769,200,34.967574
-1775.409321,200,35.127303
-1037.551604,200,35.286607
-1850.190522,200,35.44641
-1469.847798,200,35.60584
-1053.887573,200,35.765456
-1072.831995,200,35.924855
-1182.276968,200,40.198683
-1087.944067,200,40.358401
-1035.581073,200,40.517915
-1594.684545,200,40.677627
-997.394558,200,40.837473
-1350.277056,200,40.997077
-1014.902715,200,41.156858
-1079.819112,200,41.316778
-1088.469257,200,41.476746
-1187.397619,200,41.636629
-1459.159542,200,45.909081
-1089.025377,200,46.069122
-1045.385002,200,46.228707
-976.517244,200,46.3883
-1019.636768,200,46.547744
-1197.505551,200,46.707354
-1181.00624,200,46.866725
-1510.918315,200,47.026219
-1060.764939,200,47.185616
-1292.676251,200,47.345417
-1625.198527,200,47.504789
-1131.98591,200,51.756381
-1582.687198,200,51.91596
-1326.782801,200,52.075438
-1064.452853,200,52.234718
-1066.168743,200,52.394331
-1507.744986,200,52.553959
-1207.7679,200,52.71398
-1587.646213,200,52.873812
-1049.650076,200,53.033955
-1342.738585,200,53.193722
-1222.690218,200,57.460323
-1366.871088,200,57.61975
-1109.68709,200,57.779193
-1378.16466,200,57.938831
-1210.991399,200,58.09832
-1620.336429,200,58.257776
-1697.391798,200,58.417123
-1166.845031,200,58.576461
-1173.823166,200,58.736069
-1629.198884,200,58.895489
-1062.361644,200,63.144372
-1029.692325,200,63.303487
-1168.242821,200,63.462939
-1113.804698,200,63.622294
-969.144744,200,63.781661
-1349.756126,200,63.94051
-1442.575758,200,64.099437
-1184.699397,200,64.258576
-1207.213296,200,64.417643
-1274.025939,200,64.577026
-1754.87751,200,68.845794
-969.55439,200,69.005327
-1524.319898,200,69.164382
-1390.008184,200,69.32406
-1000.871855,200,69.483455
-1551.316614,200,69.642585
-1211.525586,200,69.801674
-1054.568855,200,69.960644
-1197.422791,200,70.11982
-960.097419,200,70.279086
-1694.788167,200,70.438729
-1216.9211,200,74.706867
-1201.098468,200,74.866473
-1320.13945,200,75.025728
-1440.973476,200,75.184602
-1204.723136,200,75.343714
-1026.156105,200,75.502716
-1169.616141,200,75.661633
-1118.601945,200,75.820831
-1424.331642,200,75.980023
-1023.267767,200,76.139036
-1207.551528,200,80.368565
-1212.395939,200,80.528723
-1033.238056,200,80.68835
-1170.887766,200,80.848327
-1028.251125,200,81.007906
-1053.393199,200,81.167735
-1206.586857,200,81.327321
-1135.619031,200,81.487155
-1025.797924,200,81.647035
-1028.368307,200,81.807031
-1148.275782,200,86.081327
-1224.090108,200,86.24158
-1218.675354,200,86.401142
-1217.554513,200,86.560928
-1252.941977,200,86.720884
-1093.886683,200,86.880416
-1214.513838,200,87.040059
-1298.995281,200,87.199938
-1095.301828,200,87.359443
-1260.840651,200,87.518965
-1526.67736,200,91.783504
-1218.318966,200,91.94335
-1055.621682,200,92.103307
-1211.331787,200,92.262853
-1285.190024,200,92.422338
-1288.970665,200,92.582071
-1127.098401,200,92.741718
-1129.759733,200,92.901408
-1204.487658,200,93.061233
-1293.419565,200,93.220995
