#{"t_start": 1721832233.6699572, "env_id": "Pendulum-v1"}
r,l,t
-1407.620147,200,0.167734
-1187.390413,200,0.325752
-987.793066,200,0.483556
-1514.833971,200,0.641327
-1751.072344,200,0.799385
-1487.577397,200,0.957934
-1164.494694,200,1.116111
-1661.352068,200,1.274167
-1599.118712,200,1.432407
-763.896222,200,1.590364
-1581.350426,200,5.103205
-1017.405691,200,5.261407
-1067.801179,200,5.419294
-1428.186631,200,5.57716
-859.852381,200,5.735023
-895.633713,200,5.893149
-1757.25936,200,6.05119
-1556.827231,200,6.209159
-1128.38707,200,6.367164
-1431.403002,200,6.525499
-907.461937,200,10.033218
-1548.405284,200,10.192779
-1312.140352,200,10.352194
-1042.897412,200,10.511718
-986.753344,200,10.671152
-1015.819566,200,10.830436
-1033.785754,200,10.989781
-1774.80088,200,11.149342
-1198.37813,200,11.309061
-1118.046301,200,11.468896
-1159.641608,200,15.00777
-1355.045315,200,15.167334
-1332.94745,200,15.326986
-908.329055,200,15.486475
-1087.526678,200,15.645786
-1421.283707,200,15.805412
-1186.430871,200,15.965271
-1009.857248,200,16.124815
-1525.369813,200,16.284195
-1457.978012,200,16.444018
-879.299467,200,19.985727
-1030.47528,200,20.144749
-1029.619084,200,20.30408
-1535.523431,200,20.463348
-1584.880974,200,20.623768
-1011.562336,200,20.782971
-1334.750913,200,20.942198
-1249.328283,200,21.101648
-1206.508913,200,21.261381
-1091.898055,200,21.42079
-1047.009154,200,21.580472
-916.12232,200,25.117852
-1244.340132,200,25.277586
-1491.488833,200,25.437313
-1063.421703,200,25.596639
-1728.113074,200,25.755812
-1773.683294,200,25.91547
-900.596788,200,26.074769
-1093.65591,200,26.234745
-1355.818595,200,26.394912
-906.266838,200,26.555274
-1539.87839,200,30.09675
-1335.942413,200,30.256029
-1038.137225,200,30.415914
-1027.737203,200,30.575347
-1321.870421,200,30.734833
-922.718257,200,30.894513
-966.873738,200,31.053876
-1303.38733,200,31.213525
-1072.582325,200,31.373561
-1092.926926,200,31.53328
-1066.508643,200,35.071747
-1381.616448,200,35.231205
-1072.651438,200,35.390828
-1095.924761,200,35.550121
-1349.931705,200,35.70963
-1334.522368,200,35.869233
-1319.978229,200,36.028613
-1197.083774,200,36.187904
-1317.296782,200,36.347236
-952.84374,200,36.50703
-1143.842311,200,40.045981
-1055.328243,200,40.205685
-1530.725339,200,40.365358
-1082.924554,200,40.525164
-1066.917725,200,40.684773
-1285.687755,200,40.844832
-1798.29498,200,41.004678
-1377.658452,200,41.16405
-1441.04815,200,41.323682
-1380.106755,200,41.483314
-1316.333248,200,41.643117
-1388.92884,200,45.181906
-1051.099715,200,45.341383
-1111.726175,200,45.501138
-1169.273692,200,45.660546
-1120.551426,200,45.820256
-1379.06482,200,45.979956
-1175.16829,200,46.139521
-1191.65715,200,46.299017
-1006.92699,200,46.459095
-1116.041919,200,46.618797
-1646.743101,200,50.15849
-1204.111827,200,50.318325
-1165.424305,200,50.478194
-1556.428319,200,50.637791
-1113.830643,200,50.797508
-1177.057553,200,50.957299
-1092.631614,200,51.116664
-1178.329068,200,51.275992
-1196.897044,200,51.435778
-1199.608624,200,51.595631
-1286.201095,200,55.135458
-1094.493324,200,55.294912
-1072.739161,200,55.454473
-1718.948017,200,55.614036
-1203.086669,200,55.773734
-1151.33086,200,55.934479
-1631.184931,200,56.094299
-1515.601884,200,56.253821
-1199.599465,200,56.413747
-1033.371838,200,56.573565
-1430.523767,200,60.114169
-1708.836548,200,60.273921
-1093.630101,200,60.433488
-1167.984975,200,60.592945
-1664.737762,200,60.752539
-1094.628318,200,60.91236
-1236.654321,200,61.072383
-1185.108752,200,61.232075
-1018.699475,200,61.391987
-1119.646494,200,61.551756
-1164.242167,200,61.712983
-1108.118278,200,65.253955
-1198.641082,200,65.413455
-1240.741106,200,65.572761
-1204.449742,200,65.732072
-1320.744404,200,65.891349
-1161.370161,200,66.050681
-1296.826352,200,66.209998
-1203.254918,200,66.369586
-1235.179472,200,66.529142
-1233.354573,200,66.688817
-1289.020258,200,70.209151
-1102.251295,200,70.368569
-1164.594761,200,70.5282
-1680.091538,200,70.687478
-1177.817248,200,70.846929
-1140.438683,200,71.006724
-1738.109528,200,71.166049
-1247.969014,200,71.325465
-1128.121789,200,71.484838
-1243.163987,200,71.643896
-1079.314766,200,75.179714
-1183.576347,200,75.339128
-1266.373789,200,75.499106
-1233.131368,200,75.658853
-1091.503105,200,75.818413
-1097.509661,200,75.978013
-1449.305557,200,76.137518
-1210.140227,200,76.296937
-1485.245128,200,76.45653
-1738.066892,200,76.616021
-1115.796349,200,80.154482
-1086.834221,200,80.31398
-1124.160835,200,80.473589
-1199.329998,200,80.634386
-1137.267864,200,80.793879
-1088.571851,200,80.953319
-1362.336739,200,81.112507
-1078.730829,200,81.272189
-1157.438021,200,81.431679
-1017.86153,200,81.590852
-1094.311543,200,81.750299
-1174.347421,200,85.287969
-1178.507145,200,85.447438
-1246.702929,200,85.60674
-1128.143381,200,85.766276
-1175.454881,200,85.925668
-1281.691336,200,86.084944
-1099.929329,200,86.245
-1139.157461,200,86.404516
-1432.01423,200,86.564214
-1082.939161,200,86.723657
-1110.50863,200,90.264297
-1439.088081,200,90.424751
-1234.247365,200,90.58426
-1379.96826,200,90.743775
-1152.125605,200,90.903605
-1055.303005,200,91.063003
-1162.119417,200,91.222719
-1052.387789,200,91.382354
-1356.715781,200,91.542305
-1242.713105,200,91.702249
-1012.75174,200,95.240247
-1202.342543,200,95.400218
-1136.536152,200,95.559795
-1205.077446,200,95.719374
-1206.2796,200,95.878947
-1198.243336,200,96.038451
-1165.929343,200,96.198595
-1340.772274,200,96.358132
-1171.578391,200,96.517699
-1193.107106,200,96.676891
-1511.56404,200,100.218424
-1058.698122,200,100.377777
-1163.739296,200,100.537626
-1072.825619,200,100.69763
-1177.330282,200,100.857579
-1222.273862,200,101.016996
-1196.07415,200,101.176649
-1133.111584,200,101.336414
-1198.072397,200,101.496118
-1113.26656,200,101.655709
-1148.808838,200,101.815342
-1124.058098,200,105.350052
-1122.66907,200,105.509434
-1142.175763,200,105.668864
-1005.676698,200,105.828049
-1105.480698,200,105.98779
-1278.340337,200,106.147028
-1061.622364,200,106.306222
-1102.997772,200,106.46623
-1056.746179,200,106.6255
-1124.437025,200,106.784694
-1081.637685,200,110.323944
-1017.416147,200,110.483974
-1248.244427,200,110.643568
-1010.702695,200,110.802957
-1107.955377,200,110.962657
-1108.302898,200,111.121972
-1118.649912,200,111.281167
-979.426878,200,111.440426
-1127.554362,200,111.600443
-1046.032329,200,111.759728
-1090.194168,200,115.297086
-1042.652561,200,115.456673
-1175.14993,200,115.617325
-1002.388226,200,115.776667
-1051.66277,200,115.93617
-1146.688546,200,116.095695
-1049.806907,200,116.255662
-898.766284,200,116.415131
-1061.819322,200,116.574391
-1088.135092,200,116.733288
-1058.751985,200,120.272681
-1027.871733,200,120.432379
-1019.310572,200,120.591569
-1071.554136,200,120.750825
-998.802059,200,120.910353
-1023.963336,200,121.069818
-942.721038,200,121.229421
-1026.669768,200,121.389947
-1368.57703,200,121.54953
-962.439009,200,121.708929
-1009.634184,200,121.868743
-1020.499728,200,125.407243
-984.521642,200,125.566471
-923.059384,200,125.725637
-901.4856,200,125.884966
-921.686569,200,126.044211
-972.212056,200,126.203314
-957.464812,200,126.36238
-918.236846,200,126.522625
-977.760129,200,126.682183
-982.387683,200,126.842594
-993.910995,200,130.359098
-1126.420087,200,130.518362
-1013.826306,200,130.677172
-1040.391277,200,130.836132
-992.328536,200,130.995224
-1001.218584,200,131.15461
-994.871006,200,131.313284
-919.181154,200,131.471937
-985.158378,200,131.630854
-1003.832569,200,131.789671
-900.970271,200,135.328635
-899.356482,200,135.487991
-783.146198,200,135.647249
-1105.431575,200,135.80603
-941.188575,200,135.965159
-757.390561,200,136.124398
-940.174769,200,136.28337
-755.723385,200,136.44265
-1256.324371,200,136.601791
-940.424133,200,136.760918
-789.950689,200,140.297666
-935.669499,200,140.456763
-758.558446,200,140.615729
-758.048209,200,140.775161
-1030.704681,200,140.93415
-884.287109,200,141.093258
-770.873533,200,141.252486
-775.157766,200,141.411773
-762.963944,200,141.571104
-770.230436,200,141.730299
-766.373686,200,145.268986
-639.182067,200,145.428102
-759.144094,200,145.587838
-768.070782,200,145.746785
-873.161135,200,145.906122
-841.996615,200,146.065134
-755.04416,200,146.223971
-965.028608,200,146.383717
-1126.728614,200,146.54319
-1108.288439,200,146.702084
-758.758129,200,146.861179
-852.510661,200,150.40189
-632.321305,200,150.561188
-874.354939,200,150.720857
-863.164735,200,150.880269
-658.179695,200,151.03974
-749.051229,200,151.199058
-1127.764367,200,151.358798
