#{"t_start": 1721832233.6667628, "env_id": "Pendulum-v1"}
r,l,t
-1479.977172,200,0.170211
-1162.620669,200,0.328256
-1736.073966,200,0.486054
-1387.903708,200,0.643828
-887.554336,200,0.801895
-1737.115587,200,0.960438
-879.2935,200,1.118621
-850.662666,200,1.276666
-1749.857236,200,1.434914
-1077.691987,200,1.592855
-1711.823846,200,5.105559
-1208.990347,200,5.263916
-1502.120162,200,5.421789
-1016.609744,200,5.579677
-1209.16322,200,5.73752
-905.176754,200,5.895654
-1164.382085,200,6.05369
-1714.315305,200,6.211662
-1537.561264,200,6.369671
-914.724393,200,6.528008
-1721.983475,200,10.035568
-906.035607,200,10.195276
-894.017922,200,10.354698
-1369.711008,200,10.514207
-902.256322,200,10.67365
-901.650987,200,10.832928
-906.933898,200,10.992287
-902.02086,200,11.151836
-1028.69253,200,11.311564
-1171.127199,200,11.471387
-971.972689,200,15.009723
-1235.592636,200,15.169832
-1232.93579,200,15.329482
-1164.599176,200,15.488969
-1003.278761,200,15.648287
-1184.063217,200,15.807892
-905.001705,200,15.967763
-1171.826206,200,16.127317
-884.595828,200,16.286694
-901.333032,200,16.446518
-1179.170375,200,19.988079
-1164.541211,200,20.147236
-1060.127726,200,20.306565
-1192.590264,200,20.46585
-1097.19115,200,20.625529
-1757.999911,200,20.78547
-1429.557312,200,20.944693
-1754.647352,200,21.10415
-1509.626163,200,21.26387
-1165.301187,200,21.423297
-1163.893777,200,21.582968
-1471.172589,200,25.120189
-1178.232595,200,25.280079
-905.290055,200,25.439804
-1533.657089,200,25.599134
-1575.102197,200,25.758317
-1037.405071,200,25.917957
-1511.915886,200,26.077282
-1166.636765,200,26.236797
-1748.606348,200,26.397421
-1043.057455,200,26.557763
-1050.403152,200,30.099089
-1167.960605,200,30.258529
-1169.366273,200,30.418401
-1621.437265,200,30.577841
-1205.553456,200,30.737326
-1050.211498,200,30.89701
-1555.877024,200,31.056377
-1662.241901,200,31.216017
-1181.808955,200,31.376055
-1043.997338,200,31.535772
-1228.988957,200,35.074093
-1069.884392,200,35.233704
-1551.176981,200,35.39334
-1568.267914,200,35.552625
-1472.992644,200,35.712126
-1196.110214,200,35.871726
