#{"t_start": 1721832854.3679166, "env_id": "Pendulum-v1"}
r,l,t
-1250.171384,200,0.176228
-1344.088975,200,0.334684
-1366.687543,200,0.492719
-752.922024,200,0.651298
-1287.65468,200,0.809071
-857.300529,200,0.96699
-1617.65002,200,1.125
-1435.021176,200,1.283207
-1172.24511,200,1.441174
-1742.087156,200,1.599141
-1717.982843,200,5.121538
-883.627054,200,5.279228
-1424.285333,200,5.436713
-1357.197959,200,5.59434
-1735.396184,200,5.752512
-865.956598,200,5.910659
-1073.965197,200,6.068646
-1141.218035,200,6.226787
-1532.874389,200,6.384564
-1613.904061,200,6.54196
-884.568292,200,10.058245
-1176.82119,200,10.216105
-1231.099708,200,10.373969
-1785.289161,200,10.53158
-1424.835208,200,10.689572
-1768.462749,200,10.84734
-920.898814,200,11.005745
-1175.928427,200,11.164025
-1317.455793,200,11.322243
-1485.173405,200,11.479887
-1040.608291,200,14.996901
-987.22682,200,15.154512
-1309.19161,200,15.312458
-1025.144039,200,15.469877
-1175.236273,200,15.627708
-1042.170218,200,15.785648
-1069.430337,200,15.943466
-1042.965112,200,16.101175
-1498.485518,200,16.259149
-1185.213507,200,16.417022
-1048.750694,200,19.931423
-1078.10893,200,20.089296
-1123.252071,200,20.247219
-1194.85415,200,20.404945
-1154.114631,200,20.562695
-1123.235115,200,20.720481
-1597.907094,200,20.878193
-1066.887309,200,21.035744
-1164.795629,200,21.193457
-992.318694,200,21.351121
-1093.697577,200,21.508915
-1659.37725,200,25.023894
-1150.028297,200,25.181514
-1651.372735,200,25.338922
-1055.920127,200,25.4963
-1083.256537,200,25.653905
-1026.114647,200,25.811487
-1200.759611,200,25.969065
-1100.341257,200,26.126575
-1179.12255,200,26.283934
-1193.317374,200,26.441223
-1116.038646,200,29.950486
-1323.422179,200,30.107902
-1069.497058,200,30.265453
-1224.302931,200,30.423301
-1170.35917,200,30.580799
-1335.133151,200,30.738353
-1176.099266,200,30.896126
-1140.802855,200,31.05344
-958.100159,200,31.210867
-1184.40995,200,31.368321
-1254.768173,200,34.881425
-1313.046452,200,35.038485
-1135.163563,200,35.195775
-1178.736524,200,35.352838
-1011.364781,200,35.509858
-1104.657274,200,35.667161
-1497.098972,200,35.824193
-1505.672169,200,35.981374
-1042.924743,200,36.138876
-1196.163862,200,36.296497
-1188.386845,200,39.791668
-1108.573387,200,39.949221
-1069.033813,200,40.106353
-1237.896674,200,40.264263
-1169.217216,200,40.421824
-1209.645131,200,40.579137
-1249.076331,200,40.736575
-1041.921303,200,40.893888
-1209.094995,200,41.05123
-1199.142401,200,41.208909
-1210.068232,200,41.36624
-1191.904226,200,44.860861
-1407.678642,200,45.020268
-1485.844519,200,45.177408
-1084.102576,200,45.334615
-1226.152868,200,45.4915
-1223.709882,200,45.648734
-1137.796699,200,45.806283
-1129.959227,200,45.963498
-1148.542909,200,46.120684
-1100.90143,200,46.278376
-1203.848701,200,49.751667
-1232.251719,200,49.908877
-1213.07405,200,50.066497
-1838.051571,200,50.223766
-1285.064414,200,50.3812
-1390.625797,200,50.538599
-1245.196208,200,50.696347
-1073.92852,200,50.853896
-1199.566523,200,51.01165
-1195.455286,200,51.169306
-1179.759157,200,54.665979
-1698.947068,200,54.823176
-1226.098715,200,54.980025
-1170.996984,200,55.136895
-1594.61525,200,55.294012
-1587.346599,200,55.451752
-1223.814737,200,55.609092
-1115.863464,200,55.766535
-1419.954996,200,55.923448
-1297.337249,200,56.080548
-1188.271063,200,59.576604
-1377.494422,200,59.734034
-1135.333499,200,59.891198
-1064.700347,200,60.048645
-977.28221,200,60.20613
-1230.512146,200,60.363498
-1236.727104,200,60.52081
-1261.027944,200,60.678933
-1211.521175,200,60.836422
-1338.937752,200,60.993554
-1146.864457,200,61.150738
-1248.458925,200,64.647859
-1248.463194,200,64.805498
-1083.612145,200,64.962925
-1111.328893,200,65.120332
-1066.285479,200,65.278131
-1278.451139,200,65.43573
-1250.888775,200,65.593223
-1143.421523,200,65.751387
-1196.611689,200,65.909196
-1081.173392,200,66.066578
-1218.50528,200,69.567167
-1087.940863,200,69.725035
-1305.786068,200,69.882464
-1197.098446,200,70.039812
-1005.323859,200,70.197696
-1082.959429,200,70.355056
-1011.392677,200,70.512307
-1216.223602,200,70.669959
-1171.836421,200,70.827345
-942.004546,200,70.984774
-1206.158186,200,74.479606
-1285.072471,200,74.63674
-1197.673364,200,74.793974
-1293.299391,200,74.951071
-1297.914129,200,75.108329
-1030.096732,200,75.26641
-1298.794204,200,75.424449
-1300.274103,200,75.582243
-982.022467,200,75.740318
-1152.276578,200,75.897965
-1107.723814,200,79.398854
