#{"t_start": 1721923862.8417456, "env_id": "Pendulum-v1"}
r,l,t
-1166.218898,200,0.186441
-1176.055122,200,0.345583
-1457.013295,200,0.505203
-1532.445927,200,0.664644
-1782.095428,200,0.824559
-1200.105959,200,0.983888
-1771.405736,200,1.142926
-961.137952,200,1.302907
-1644.138068,200,1.461992
-1312.915351,200,1.621223
-1091.200115,200,5.830482
-1063.227195,200,5.991077
-1086.336529,200,6.151451
-1801.318472,200,6.312009
-1057.264147,200,6.472163
-892.673306,200,6.632505
-1166.934817,200,6.792306
-1274.247386,200,6.952131
-1165.498093,200,7.111904
-1453.481538,200,7.271968
-973.411268,200,11.519029
-1174.580017,200,11.679118
-997.319146,200,11.839297
-1174.10634,200,11.999114
-1062.789287,200,12.159155
-869.714207,200,12.319894
-1372.100478,200,12.480621
-898.91697,200,12.640656
-1745.881251,200,12.801001
-953.55129,200,12.961335
-1342.661894,200,17.205288
-1453.174602,200,17.366131
-1025.020495,200,17.526774
-1111.155519,200,17.687664
-961.641896,200,17.847987
-1010.980263,200,18.00857
-1046.375637,200,18.168991
-1590.635493,200,18.329201
-1773.623289,200,18.489824
-1134.269211,200,18.64999
-1813.470046,200,22.893576
-1063.696413,200,23.05327
-944.540356,200,23.212833
-1067.860192,200,23.372519
-971.773256,200,23.532129
-1309.334436,200,23.691679
-1199.005975,200,23.851439
-1693.382868,200,24.012628
-1126.616012,200,24.1722
-1128.700191,200,24.331686
-1002.134693,200,24.491219
-1194.5653,200,28.735615
-1222.20851,200,28.895452
-1193.995892,200,29.054346
-1193.950352,200,29.214755
-1002.659342,200,29.37486
-1064.781239,200,29.535343
-1861.955089,200,29.695321
-1200.806857,200,29.855213
-1184.407089,200,30.014808
-1076.683975,200,30.175334
-1169.806046,200,34.40656
-1106.220885,200,34.565967
-1255.012606,200,34.725258
-1213.320545,200,34.884698
-1489.850581,200,35.044247
-1624.580323,200,35.203529
-1169.697397,200,35.362377
-1089.209781,200,35.521998
-1202.414078,200,35.681121
-1260.334849,200,35.840232
-1059.380858,200,40.036284
-960.142444,200,40.196458
-1339.214337,200,40.356001
-1458.09227,200,40.515485
-1100.560248,200,40.675506
-1198.588631,200,40.834916
-1196.880944,200,40.994548
-1198.049811,200,41.154246
-1705.036024,200,41.314352
-1045.226047,200,41.473928
-1196.746554,200,45.70263
-1211.467128,200,45.862104
-1264.247318,200,46.021732
-1216.800284,200,46.181354
-1013.863847,200,46.341267
