#{"t_start": 1721923862.8432183, "env_id": "Pendulum-v1"}
r,l,t
-1243.404247,200,0.185298
-1763.101283,200,0.344427
-1408.771656,200,0.50406
-1213.016222,200,0.663491
-1285.377215,200,0.823406
-1609.504175,200,0.98273
-1067.443107,200,1.141773
-891.035995,200,1.301754
-1075.517202,200,1.460847
-1468.085953,200,1.620079
-872.720346,200,5.829336
-794.493786,200,5.989933
-865.383127,200,6.150304
-1233.695565,200,6.310862
-912.359117,200,6.471022
-1073.264891,200,6.631348
-1347.745701,200,6.791151
-965.458477,200,6.950984
-1242.065814,200,7.110748
-1300.817569,200,7.270821
-1712.117695,200,11.517911
-1357.248233,200,11.677975
-1721.964709,200,11.838141
-987.250829,200,11.997965
-953.423246,200,12.158011
-1203.229542,200,12.318742
-1800.942531,200,12.479464
-1249.232621,200,12.639503
-949.252531,200,12.799856
-1558.116613,200,12.960183
-1302.476072,200,17.204142
-1653.658466,200,17.364983
-1070.174416,200,17.525623
-1104.317124,200,17.686519
-1461.068786,200,17.846851
-1190.480474,200,18.007416
-1182.04089,200,18.167846
-1165.453618,200,18.328053
-1070.640907,200,18.488665
-1053.445743,200,18.648848
-1732.534115,200,22.892442
-1116.278079,200,23.052129
-1194.27258,200,23.211681
-1324.154085,200,23.371365
-1060.42001,200,23.530983
-1390.056671,200,23.690523
-1119.794729,200,23.850288
-1151.046911,200,24.011475
-1804.339238,200,24.171051
-1143.424836,200,24.330527
-1247.203211,200,24.490072
-1758.693209,200,28.734466
-1173.428036,200,28.894298
-1145.006224,200,29.053189
-1128.87716,200,29.213604
-1252.638144,200,29.373705
-1290.187141,200,29.534189
-1460.258872,200,29.69417
-1074.567857,200,29.854067
-1178.842784,200,30.013655
-1580.687343,200,30.174185
-1071.419806,200,34.405415
-1189.164253,200,34.564822
-1187.083713,200,34.724113
-1759.807968,200,34.883543
-1252.133384,200,35.043102
-1107.423551,200,35.202374
-1134.351765,200,35.361222
-1245.624921,200,35.520853
-1112.677348,200,35.679974
-1511.051209,200,35.839085
-1536.813524,200,40.035137
-1093.123925,200,40.195308
-1247.679135,200,40.354851
-1774.746891,200,40.514332
-1206.711166,200,40.674352
-970.465838,200,40.83376
-1191.207818,200,40.993395
